Control Name,Control Description,Control Frequency,Control Owner,Control Progress,Inactive/Active,Audit Alignment
"Change Management: Ticketing System","A centralized ticketing and workflow tool tracks software change activity, including development, approvals and testing.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.8.1"
"Code of Conduct","The Code of Conduct is required to be signed by all employees and contractors who are granted system access upon hire.","As Needed","brenda.milian@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.1.1, SOC2:2022.CC.3.1"
"Collection: Reliable Source","Contracts/statements of work and the Privacy Notice outline the lawful basis used to collect any necessary personal information. The source of data not collected directly from data subjects is retained.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.P.3.1"
"Configuration Standards","A baseline security configuration is maintained by the information technology team and is deployed to all systems upon installation or upgrade. The configuration is reviewed at least annually or when there has been a significant change. The prior baseline configuration is also maintained for use in emergency rollback.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.7.1, SOC2:2022.CC.8.1"
"Contracts","The organization utilizes contractual agreements that define relevant data security [and privacy] commitments and requirements for its customers and third-party providers.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.2.3, SOC2:2022.CC.9.2, SOC2:2022.P.6.1, SOC2:2022.P.6.4"
"Data Classification Policy","A defined information classification scheme has been established to label and handle data. This policy is reviewed, updated, and approved annually. Classifications consider the legal requirements, value, criticality, and sensitivity to unauthorized disclosure or modification of the information. Data is classified into three levels: public, confidential, sensitive.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.C.1.1, SOC2:2022.CC.2.1, SOC2:2022.CC.6.1"
"Data Flow Diagram","The data flow diagram is maintained and highlights the systems that require logical access controls per data classification level. The data flow diagram is updated annually or as business needs require.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.2.1, SOC2:2022.CC.2.2, SOC2:2022.CC.6.1"
"Data Management Policy","A defined Data Management Policy provides guidance on information categories, usage, storage, and transmission of data. This policy is reviewed, updated, and approved annually.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.C.1.1, SOC2:2022.C.1.2, SOC2:2022.CC.6.5, SOC2:2022.P.4.2, SOC2:2022.P.4.3"
"Data Retention/Deletion","Procedures are in place to remove data from production based on retention schedules, contract requirements, and deletion rules that are applied to specific forms of data; disposals are tracked; a data disposal process is in place. These procedures are reviewed, updated, and approved as needed.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.C.1.1, SOC2:2022.C.1.2, SOC2:2022.CC.6.5, SOC2:2022.P.3.2, SOC2:2022.P.4.2, SOC2:2022.P.4.3"
"Disk Encryption","Disk encryption is enforced, by centrally managed data loss prevention rules, on all employee devices.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.6.1"
"Employee Performance","A performance evaluation process is in place and employees are evaluated at least annually.","Annually","brenda.milian@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.1.1, SOC2:2022.CC.1.4, SOC2:2022.CC.1.5"
"Employee Shared Drive","A centralized drive is in place for employees to access all corporate policies and procedures as well as job descriptions.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.2.2"
"Encryption at Rest","All data at rest is encrypted using industry standard algorithms.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.6.1, SOC2:2022.PI.1.5"
"Encryption in Transit","Any sensitive data that is transmitted over public networks, and data in transit is encrypted.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.6.1, SOC2:2022.CC.6.7, SOC2:2022.PI.1.4"
"Firewall Rules","Firewall rule sets are configured and in place to help prevent unauthorized access threats from outside the application and infrastructure environment.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.6.6"
"Incident Response: Employee Responsibility","A documented incident response plan is in place to guide employees in identifying, reporting, and acting on breaches and incidents.","Continuous",,"Not In Place",TRUE,"SOC2:2022.CC.2.2, SOC2:2022.CC.7.3, SOC2:2022.CC.7.4, SOC2:2022.P.8.1"
"Incident Response: Process","The incident response process includes documentation of containment steps performed, impact assessment, data capture for analysis, mitigations, stakeholder notification, steps to restore service. The organization performs a root cause analysis (RCA) for incidents and information disclosures that could impact security, confidentiality, or privacy. The plan is protected from unauthorized disclosure.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.2.3, SOC2:2022.CC.7.3, SOC2:2022.CC.7.4, SOC2:2022.CC.7.5"
"Incident Response: Testing","The security incident response plan is tested on at least an annual basis.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.7.4, SOC2:2022.CC.7.5"
"Incidents External","External parties may report systems failures, incidents, concerns, and other complaints to appropriate personnel by submitting their issue via the organization's support webpage. The incident is documented in accordance with the Incident Response Plan, if required.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.2.2, SOC2:2022.CC.2.3, SOC2:2022.CC.9.2"
"Intrusion Detection","Threat detection tools are utilized to monitor and log possible or actual network breaches and other anomalous security events. Alerting occurs on threats and results are actioned as appropriate.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.4.1, SOC2:2022.CC.6.6, SOC2:2022.CC.7.1, SOC2:2022.CC.7.2"
"Job Descriptions","Job descriptions are in place for all IT staff which define required skills and responsibilities as they relate to information security. The job descriptions are available to all employees.","Continuous","brenda.milian@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.1.3, SOC2:2022.CC.1.4, SOC2:2022.CC.2.2"
"Logical Access Policy","Logical Access Policy and Procedures are in place which define the authorization, modification, removal of access, secure authentication requirements, and the principle of least privilege. The policy is reviewed annually.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.5.2, SOC2:2022.CC.6.1, SOC2:2022.CC.6.3"
"Monitoring Infrastructure","IT infrastructure monitoring tools are configured to monitor IT infrastructure availability and performance, generate alerts when specific predefined thresholds are met or exceeded, and forecast capacity requirements to ensure system performance. Threat intelligence feeds are utilized.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.A.1.1, SOC2:2022.CC.4.1"
"Network Diagram","System boundaries are defined in the network diagram. The network diagram is reviewed annually or as business needs require.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.2.1, SOC2:2022.CC.2.2"
"Non Disclosure Agreement","Employees and contractors are required to sign a non-disclosure agreement upon hire. The non-disclosure agreement includes the signee's and the company's responsibility with respect to information security.","As Needed","brenda.milian@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.9.2"
"Organizational Chart","The business is organized along functional areas. Within functional areas, organizational and reporting hierarchies have been defined and responsibilities have been assigned. Organizational charts are updated as needed.","As Needed","brenda.milian@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.1.3"
"Password Requirements","Authentication for the network, operating systems, databases, applications, cloud, and VPNs adheres to the company password setting requirements. These requirements are documented within the Logical Access [or Password] Policy.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.6.2"
"Provisioning","Logical/physical user access requests are documented and require approval prior to access being provisioned.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.6.1, SOC2:2022.CC.6.2, SOC2:2022.CC.6.3, SOC2:2022.CC.6.4"
"Risk Assessment Action Plans","Risks identified through the risk assessment process are addressed by management and appropriate mitigation strategies or risk acceptance are assigned and tracked for completion. Risk assessment results are shared with the leadership team and the board annually, and risk treatment activities are documented accordingly.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.3.2, SOC2:2022.CC.5.1"
"Risk Assessment Methodology","A risk assessment is conducted annually or in the event of significant changes to the organization and/or information systems. The risk assessment will identify, assess, mitigate, report and monitor security, fraud, legal & regulatory, and vendor risks. Risks are scored by likelihood and impact, and high risks are actioned upon according to the risk assessment policy.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.3.1, SOC2:2022.CC.3.2, SOC2:2022.CC.3.3, SOC2:2022.CC.3.4, SOC2:2022.CC.5.1, SOC2:2022.CC.9.2"
"Risk Assessment Policy","The Risk Management policy and procedures are in place and include how to identify risks, to evaluate risks, and how to address and mitigate those risks. The policy is reviewed at least annually and re-distributed to staff, as needed.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.3.2"
"Security Training","Employees and contractors complete security-related training, as relevant to their duties, upon hire and on an annual basis. The annual security training includes information on how to report security incidents and concerns. The training includes topics specific to different roles depending on participants' access to sensitive data.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.2.2"
"Separation of Duties: Developers","Access to the source code repository is restricted to authorized employees.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.8.1"
"Separation of Duties: IT Operations","Developers do not have access to IT infrastructure tools or the production environment. Exceptions are documented and approved by the head of IT.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.8.1"
"Separation of Environments","Production, testing, and development environments are logically and physically separated.","Continuous","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.8.1"
"System Description","Provide the completed System Description document in .docx format.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.2.2, SOC2:2022.CC.2.3"
"Termination of Access","A user's logical [and physical] access to IT systems is revoked within [# hours or business days] of termination or transfer and all assets are returned to the organization when employment ends or their contract terminates. Exceptions are documented in an offboarding checklist and/or offboarding ticket.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.6.2, SOC2:2022.CC.6.3, SOC2:2022.CC.6.4"
"Third Party SOC2","Critical vendors' SOC 2 reports are reviewed for impact to the organization's control environment, and the review is formally documented by management.","Annually",,"Not In Place",TRUE,"SOC2:2022.CC.9.2"
"User Access Review","Management performs at least an annual review of user access to systems based on job duties. Inactive users are removed and removal is documented. The review is formally documented including system generated user listings and sign off by management.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.5.2, SOC2:2022.CC.6.2, SOC2:2022.CC.6.3"
"User Authentication","Unique usernames and passwords are required to authenticate all users. Users must use non-privileged accounts or roles when accessing non-security functions, and any shared accounts must be approved by the head of IT.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.6.1"
"Vendor Due Diligence","Due diligence activities are performed over new vendors and service providers prior to contract execution. Due diligence activities include an assessment of information security practices based on the assessed level of vendor risk.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.3.4, SOC2:2022.CC.9.2, SOC2:2022.P.6.4"
"Vendor Management Policy","Policy and procedures govern the vendor management lifecycle are in place. Procedures are defined for assessing vendor risk. Management reviews and re-approves the policy annually. The policy is protected from unauthorized disclosure.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.3.2, SOC2:2022.CC.9.2, SOC2:2022.P.6.4"
"Vendor Review","Critical IT vendors and service providers are reviewed annually or more frequently based on risk level. The review includes updating vendor risk profiles, assessing performance against contracts, and re-assessing the vendors' security controls.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.9.2, SOC2:2022.P.6.4"
"Vendor Risk Register","A register of all vendors and service providers is maintained. The register includes vendor risk level which is assessed prior to engaging with the vendor and re-assessed annually thereafter.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.3.2, SOC2:2022.CC.3.4, SOC2:2022.CC.9.2"
"Vulnerability Scan","Vulnerability scans are performed quarterly to help identify security risks. Results are assessed and, where required, remediated.","Quarterly","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.4.1, SOC2:2022.CC.6.8, SOC2:2022.CC.7.1, SOC2:2022.CC.7.2"
