"Control Name","Control Progress","Priority","Control Frequency","Control Owner","Primary Domain","Audit Alignment","Immediate Next Step"
"Data Retention/Deletion","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.C.1.1","SOC2:2022.C.1.1, SOC2:2022.C.1.2, SOC2:2022.CC.6.5, SOC2:2022.P.3.2, SOC2:2022.P.4.2, SOC2:2022.P.4.3","Draft control procedure, assign owner, define evidence, run first execution"
"Disk Encryption","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.6.1","SOC2:2022.CC.6.1","Draft control procedure, assign owner, define evidence, run first execution"
"Employee Performance","Not In Place","P1-Critical","Annually","brenda.milian@cirque.com","SOC2:2022.CC.1.1","SOC2:2022.CC.1.1, SOC2:2022.CC.1.4, SOC2:2022.CC.1.5","Draft control procedure, assign owner, define evidence, run first execution"
"Employee Shared Drive","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.2.2","SOC2:2022.CC.2.2","Draft control procedure, assign owner, define evidence, run first execution"
"Encryption at Rest","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.6.1","SOC2:2022.CC.6.1, SOC2:2022.PI.1.5","Draft control procedure, assign owner, define evidence, run first execution"
"Encryption in Transit","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.6.1","SOC2:2022.CC.6.1, SOC2:2022.CC.6.7, SOC2:2022.PI.1.4","Draft control procedure, assign owner, define evidence, run first execution"
"Firewall Rules","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.6.6","SOC2:2022.CC.6.6","Draft control procedure, assign owner, define evidence, run first execution"
"Incident Response: Employee Responsibility","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.2.2","SOC2:2022.CC.2.2, SOC2:2022.CC.7.3, SOC2:2022.CC.7.4, SOC2:2022.P.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Incident Response: Process","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.2.3","SOC2:2022.CC.2.3, SOC2:2022.CC.7.3, SOC2:2022.CC.7.4, SOC2:2022.CC.7.5","Draft control procedure, assign owner, define evidence, run first execution"
"Incident Response: Testing","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.7.4","SOC2:2022.CC.7.4, SOC2:2022.CC.7.5","Draft control procedure, assign owner, define evidence, run first execution"
"Incidents External","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.2.2","SOC2:2022.CC.2.2, SOC2:2022.CC.2.3, SOC2:2022.CC.9.2","Draft control procedure, assign owner, define evidence, run first execution"
"Intrusion Detection","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.4.1","SOC2:2022.CC.4.1, SOC2:2022.CC.6.6, SOC2:2022.CC.7.1, SOC2:2022.CC.7.2","Draft control procedure, assign owner, define evidence, run first execution"
"Job Descriptions","Not In Place","P1-Critical","Continuous","brenda.milian@cirque.com","SOC2:2022.CC.1.3","SOC2:2022.CC.1.3, SOC2:2022.CC.1.4, SOC2:2022.CC.2.2","Draft control procedure, assign owner, define evidence, run first execution"
"Logical Access Policy","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.5.2","SOC2:2022.CC.5.2, SOC2:2022.CC.6.1, SOC2:2022.CC.6.3","Draft control procedure, assign owner, define evidence, run first execution"
"Monitoring Infrastructure","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.A.1.1","SOC2:2022.A.1.1, SOC2:2022.CC.4.1","Draft control procedure, assign owner, define evidence, run first execution"
"Network Diagram","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.2.1","SOC2:2022.CC.2.1, SOC2:2022.CC.2.2","Draft control procedure, assign owner, define evidence, run first execution"
"Non Disclosure Agreement","Not In Place","P1-Critical","As Needed","brenda.milian@cirque.com","SOC2:2022.CC.9.2","SOC2:2022.CC.9.2","Draft control procedure, assign owner, define evidence, run first execution"
"Organizational Chart","Not In Place","P1-Critical","As Needed","brenda.milian@cirque.com","SOC2:2022.CC.1.3","SOC2:2022.CC.1.3","Draft control procedure, assign owner, define evidence, run first execution"
"Password Requirements","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.6.2","SOC2:2022.CC.6.2","Draft control procedure, assign owner, define evidence, run first execution"
"Provisioning","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.6.1","SOC2:2022.CC.6.1, SOC2:2022.CC.6.2, SOC2:2022.CC.6.3, SOC2:2022.CC.6.4","Draft control procedure, assign owner, define evidence, run first execution"
"Risk Assessment Action Plans","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.3.2","SOC2:2022.CC.3.2, SOC2:2022.CC.5.1","Draft control procedure, assign owner, define evidence, run first execution"
"Risk Assessment Methodology","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.3.1","SOC2:2022.CC.3.1, SOC2:2022.CC.3.2, SOC2:2022.CC.3.3, SOC2:2022.CC.3.4, SOC2:2022.CC.5.1, SOC2:2022.CC.9.2","Draft control procedure, assign owner, define evidence, run first execution"
"Risk Assessment Policy","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.3.2","SOC2:2022.CC.3.2","Draft control procedure, assign owner, define evidence, run first execution"
"Security Training","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.2.2","SOC2:2022.CC.2.2","Draft control procedure, assign owner, define evidence, run first execution"
"Separation of Duties: Developers","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.8.1","SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Separation of Duties: IT Operations","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.8.1","SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Separation of Environments","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.8.1","SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"System Description","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.2.2","SOC2:2022.CC.2.2, SOC2:2022.CC.2.3","Draft control procedure, assign owner, define evidence, run first execution"
"Termination of Access","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.6.2","SOC2:2022.CC.6.2, SOC2:2022.CC.6.3, SOC2:2022.CC.6.4","Draft control procedure, assign owner, define evidence, run first execution"
"Third Party SOC2","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.9.2","SOC2:2022.CC.9.2","Draft control procedure, assign owner, define evidence, run first execution"
"User Access Review","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.5.2","SOC2:2022.CC.5.2, SOC2:2022.CC.6.2, SOC2:2022.CC.6.3","Draft control procedure, assign owner, define evidence, run first execution"
"User Authentication","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.6.1","SOC2:2022.CC.6.1","Draft control procedure, assign owner, define evidence, run first execution"
"Vendor Due Diligence","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.3.4","SOC2:2022.CC.3.4, SOC2:2022.CC.9.2, SOC2:2022.P.6.4","Draft control procedure, assign owner, define evidence, run first execution"
"Vendor Management Policy","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.3.2","SOC2:2022.CC.3.2, SOC2:2022.CC.9.2, SOC2:2022.P.6.4","Draft control procedure, assign owner, define evidence, run first execution"
"Vendor Review","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.9.2","SOC2:2022.CC.9.2, SOC2:2022.P.6.4","Draft control procedure, assign owner, define evidence, run first execution"
"Vendor Risk Register","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.3.2","SOC2:2022.CC.3.2, SOC2:2022.CC.3.4, SOC2:2022.CC.9.2","Draft control procedure, assign owner, define evidence, run first execution"
"Vulnerability Scan","Not In Place","P1-Critical","Quarterly","chris.wren@cirque.com","SOC2:2022.CC.4.1","SOC2:2022.CC.4.1, SOC2:2022.CC.6.8, SOC2:2022.CC.7.1, SOC2:2022.CC.7.2","Draft control procedure, assign owner, define evidence, run first execution"
"Asset Inventory","Partially In Place","P2-High","Weekly","chris.wren@cirque.com","SOC2:2022.C.1.1","SOC2:2022.C.1.1, SOC2:2022.CC.2.1, SOC2:2022.CC.6.1","Close design/operation gaps and capture reviewer-approved evidence"
"Administrator Access","In Place","P3-Validate","Daily","chris.wren@cirque.com","SOC2:2022.CC.6.2","SOC2:2022.CC.6.2, SOC2:2022.CC.6.3","Validate operation over period and collect evidence samples"
"Antivirus","In Place","P3-Validate","Daily","chris.wren@cirque.com","SOC2:2022.CC.6.7","SOC2:2022.CC.6.7, SOC2:2022.CC.6.8","Validate operation over period and collect evidence samples"
"Automatic Patching","In Place","P3-Validate","Continuous","chris.wren@cirque.com","SOC2:2022.CC.8.1","SOC2:2022.CC.8.1","Validate operation over period and collect evidence samples"
