"Control ID","Control Name","ISO 27001:2022","SOC 2:2022 TSC","SOC 2:2022 CC","Applicability","Justification","Implementation Status","Evidence Location"
"CC-029","Intrusion Detection","A.12.6.1","CC.4.1, CC.6.6, CC.7.1, CC.7.2","CC.7.1","Applicable","Monitors for and detects unauthorized access/intrusion attempts.","Not In Place","[Security Operations folder]"
"CC-030","Job Descriptions","A.6.1","CC.1.3, CC.1.4, CC.2.2","CC.1.3","Applicable","Defines roles, responsibilities, and required competencies for all positions.","Not In Place","[HR/Job Descriptions folder]"
"CC-031","Logical Access Policy","A.8.1","CC.5.2, CC.6.1, CC.6.3","CC.6.1","Applicable","Controls who can access systems/data; ties to identity/roles.","Not In Place","[Access Control folder]"
"CC-032","Monitoring Infrastructure","A.12.4.1","CC.4.1, A.1.1","CC.4.1","Applicable","Monitors system health, performance, and security events; alerts on anomalies.","Not In Place","[Monitoring folder]"
"CC-033","Network Diagram","A.8.1.1","CC.2.1, CC.2.2","CC.2.1","Applicable","Current network architecture diagram; identifies critical systems and connections.","Not In Place","[Documentation folder]"
"CC-034","Non Disclosure Agreement","A.13.1.3","CC.9.2","CC.9.2","Applicable","Vendor/contractor NDAs protect confidential information.","Not In Place","[Contracts folder]"
"CC-035","Organizational Chart","A.5.1","CC.1.3","CC.1.3","Applicable","Current org structure; shows reporting lines and responsibility alignment.","Not In Place","[Organization folder]"
"CC-036","Password Requirements","A.8.2.3","CC.6.2","CC.6.2","Applicable","Password policy specifying complexity, length, rotation, history requirements.","Not In Place","[Access Control folder]"
"CC-037","Provisioning","A.8.1.1","CC.6.1, CC.6.2, CC.6.3, CC.6.4","CC.6.1","Applicable","Procedures for creating/granting access when users/roles are added.","Not In Place","[Access Control folder]"
"CC-038","Risk Assessment Action Plans","A.12.6.8","CC.3.2, CC.5.1","CC.3.2","Applicable","Documents action plans for identified risks; tracks remediation status.","Not In Place","[Risk Management folder]"
"CC-039","Risk Assessment Methodology","A.12.6.1","CC.3.1, CC.3.2, CC.3.3, CC.3.4, CC.5.1, CC.9.2","CC.3.1","Applicable","Formal process for identifying, analyzing, and rating risks; supports decision-making.","Not In Place","[Risk Management folder]"
"CC-040","Risk Assessment Policy","A.12.6.1","CC.3.2","CC.3.2","Applicable","Policy establishing frequency, scope, and governance of risk assessments.","Not In Place","[Risk Management folder]"
"CC-041","Security Training","A.6.2.2","CC.2.2","CC.2.2","Applicable","Annual security awareness training for all personnel; builds security culture.","Not In Place","[Training folder]"
"CC-042","Separation of Duties: Developers","A.12.1.2","CC.8.1","CC.8.1","Applicable","Developers cannot directly deploy to production; requires approval/separation.","Not In Place","[Change Mgmt folder]"
"CC-043","Separation of Duties: IT Operations","A.12.1.2","CC.8.1","CC.8.1","Applicable","IT operations cannot approve their own changes; independent reviewer required.","Not In Place","[Change Mgmt folder]"
"CC-044","Separation of Environments","A.12.1.1","CC.8.1","CC.8.1","Applicable","Development/test systems separate from production; prevents testing data in prod.","Not In Place","[System Design folder]"
"CC-045","System Description","A.8.1","CC.2.2, CC.2.3","CC.2.2","Applicable","Complete description of systems in scope; describes components and data flow.","Not In Place","[Documentation folder]"
"CC-046","Termination of Access","A.6.2.4","CC.6.2, CC.6.3, CC.6.4","CC.6.2","Applicable","When employees leave, all access is removed timely (within 1 business day).","Not In Place","[Access Control folder]"
"CC-047","Third Party SOC2","A.13.1.1","CC.9.2","CC.9.2","Applicable","Require and review SOC 2 attestations from all critical vendors with data access.","Not In Place","[Vendor Management folder]"
"CC-048","User Access Review","A.8.1.4","CC.5.2, CC.6.2, CC.6.3","CC.6.2","Applicable","Annual review of user access rights; removes unnecessary/outdated access.","Not In Place","[Access Control folder]"
"CC-049","User Authentication","A.8.2.1","CC.6.1","CC.6.1","Applicable","Multi-factor authentication for critical systems; single sign-on where appropriate.","Not In Place","[Access Control folder]"
"CC-050","Vendor Due Diligence","A.13.1","CC.3.4, CC.9.2, P.6.4","CC.9.2","Applicable","Evaluate vendor security posture before engagement; assess risk/capability.","Not In Place","[Vendor Management folder]"
"CC-051","Vendor Management Policy","A.13.1","CC.3.2, CC.9.2, P.6.4","CC.9.2","Applicable","Policy for managing vendor relationships; SLAs, monitoring, remediation.","Not In Place","[Vendor Management folder]"
"CC-052","Vendor Review","A.13.1.1","CC.9.2, P.6.4","CC.9.2","Applicable","Annual review of vendor performance, security posture, compliance status.","Not In Place","[Vendor Management folder]"
"CC-053","Vendor Risk Register","A.13.1","CC.3.2, CC.3.4, CC.9.2","CC.9.2","Applicable","Register of vendor risks (concentration, SLA failure, security breach); mitigation plans.","Not In Place","[Vendor Management folder]"
"CC-054","Vulnerability Scan","A.12.6.1","CC.4.1, CC.6.8, CC.7.1, CC.7.2","CC.4.1","Applicable","Quarterly vulnerability scans on all systems; identifies and remediate security weaknesses.","Not In Place","[Security Operations folder]"
"CC-055","Asset Inventory","A.8.1.1","CC.2.1, CC.6.1, C.1.1","CC.2.1","Partially In Place","Current hardware/software inventory; actively maintained (weekly updates).","Partially In Place","[Asset Management folder]"
"CC-056","Administrator Access","A.8.2.1","CC.6.2, CC.6.3","CC.6.2","In Place","Privileged admin accounts are logged, monitored, and reviewed regularly.","In Place","[Access Control folder] - evidence in logs"
"CC-057","Antivirus","A.12.2.1","CC.6.7, CC.6.8","CC.6.7","In Place","Antivirus deployed on all devices; updated daily; alerts monitored.","In Place","[Security Operations folder] - evidence in logs"
"CC-058","Automatic Patching","A.12.6.2","CC.8.1","CC.8.1","In Place","Patches applied automatically for OS and critical applications; tested before prod deployment.","In Place","[Change Mgmt folder] - evidence in deployment logs"
