"Control ID","Control Name","TSC Mapping","Domain","Owner","Frequency","Progress","Evidence Requirements"
"CC-041","Security Training","SOC2:2022.CC.2.2","Training","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-042","Separation of Duties: Developers","SOC2:2022.CC.8.1","Operations","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-043","Separation of Duties: IT Operations","SOC2:2022.CC.8.1","Operations","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-044","Separation of Environments","SOC2:2022.CC.8.1","Operations","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-045","System Description","SOC2:2022.CC.2.2, SOC2:2022.CC.2.3","Documentation","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-046","Termination of Access","SOC2:2022.CC.6.2, SOC2:2022.CC.6.3, SOC2:2022.CC.6.4","Access","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-047","Third Party SOC2","SOC2:2022.CC.9.2","Vendor","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-048","User Access Review","SOC2:2022.CC.5.2, SOC2:2022.CC.6.2, SOC2:2022.CC.6.3","Access","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-049","User Authentication","SOC2:2022.CC.6.1","Access","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-050","Vendor Due Diligence","SOC2:2022.CC.3.4, SOC2:2022.CC.9.2, SOC2:2022.P.6.4","Vendor","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-051","Vendor Management Policy","SOC2:2022.CC.3.2, SOC2:2022.CC.9.2, SOC2:2022.P.6.4","Vendor","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-052","Vendor Review","SOC2:2022.CC.9.2, SOC2:2022.P.6.4","Vendor","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-053","Vendor Risk Register","SOC2:2022.CC.3.2, SOC2:2022.CC.3.4, SOC2:2022.CC.9.2","Vendor","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-054","Vulnerability Scan","SOC2:2022.CC.4.1, SOC2:2022.CC.6.8, SOC2:2022.CC.7.1, SOC2:2022.CC.7.2","Monitoring","chris.wren@cirque.com","Quarterly","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-055","Asset Inventory","SOC2:2022.CC.2.1, SOC2:2022.CC.6.1, SOC2:2022.C.1.1","Documentation","chris.wren@cirque.com","Weekly","Partially In Place","Close design/operation gaps and capture reviewer-approved evidence"
"CC-056","Administrator Access","SOC2:2022.CC.6.2, SOC2:2022.CC.6.3","Access","chris.wren@cirque.com","Daily","In Place","Validate operation over period and collect evidence samples"
"CC-057","Antivirus","SOC2:2022.CC.6.7, SOC2:2022.CC.6.8","Security Operations","chris.wren@cirque.com","Daily","In Place","Validate operation over period and collect evidence samples"
"CC-058","Automatic Patching","SOC2:2022.CC.8.1","Operations","chris.wren@cirque.com","Continuous","In Place","Validate operation over period and collect evidence samples"
