Evidence Name,Evidence Description,Expiration Schedule,Expiration Date,Inactive/Active,Evidence Owner,Type
"Application/Software Change Testing","Provide a recent application change ticket that demonstrates developer and development activity as well as the tester and testing activity, review, and approval was completed prior to implementation.",30,null,TRUE,"bdm@cirque.com","Sample"
"Application User List","Provide a system-generated list (or series of screenshots) of all internal users with access to in-scope applications. Include the account creation date as well as the date that the account was removed, disabled or modified. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"hannah.hermansen@cirque.com","General"
"Asset Inventory","Provide the current hardware and software asset lists. The lists should include distributed laptops, network equipment, and licensed software. For each item, include the asset owner, asset in-service date (or removal date), location (as appropriate), date of the annual review (or inventory count) of assets, and the data classification of each asset. For software, include the name of the product and its version or release.",364,"02/18/2027",TRUE,"chris.wren@cirque.com","General"
"Backup Policy","Provide the Data Backup and Restoration Policy. Ensure that the policy includes timing for backup failure remediation. This policy may be included as a subsection within the Information Security Policy or a stand-alone document.",364,"01/08/2027",TRUE,null,"Policy"
"Backup Restoration Procedures","Provide the documented backup restoration procedures. This may be documented within the Data Backup and Restoration Policy.",364,"01/08/2027",TRUE,null,"Policy"
"Business Continuity Plan","Provide the documented Business Continuity Plan. The plan should include how business operations will continue when a disaster has occurred. The plan should also include consideration of information communication technologies and the maintenance of information security.",364,"03/01/2027",TRUE,"bdm@cirque.com","Policy"
"Business Continuity Tabletop Test","Provide evidence that the Business Continuity Plan has been tested. This may include a meeting invite and the documented ticket summarizing the participants, the scenario tested, and the outcome of the exercise and the steps included.",364,"03/01/2027",TRUE,"bdm@cirque.com","General"
"Change Management - Developers","Provide a system-generated list of developers. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"bdm@cirque.com","General"
"Change Management Policy","Provide the Change Management Policy. This should include types of changes, departments involved, version control and ticketing tools used, the process of development, testing, approvals, migration to production, segregation of duties, and separation of environments.",364,"01/08/2027",TRUE,"chris.wren@cirque.com","Policy"
"Change Management - Production Access","Provide a system-generated list of internal users who can push changes to production. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"bdm@cirque.com","General"
"Change Management Tool","Provide the software ticketing and workflow tool system dashboard. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"bdm@cirque.com","General"
"Code of Conduct","Provide the Code of Conduct document. If the Code of Conduct is within the Employee Handbook, upload the Handbook.",364,null,TRUE,"hannah.hermansen@cirque.com","Policy"
"Control Matrix","Provide evidence that internal control responsibilities are assigned to control owners. Download and attach the Control Library CSV here.",364,null,TRUE,null,"General"
"Control Review","Provide evidence to demonstrate that controls have been reviewed and approved by the control owner each year. This may look like the addition of new controls from the prior year, a control change log, or a memo from a meeting stating that all controls have been reviewed and reflect the organization’s processes during the period.",364,null,TRUE,null,"General"
"Critical Vendor SOC 2 Reports","Provide the SOC 2 report for each critical vendor defined on the vendor risk assessment sheet. Ensure the reports have been issued within the audit period.",364,null,TRUE,null,"General"
"Critical Vendor SOC 2 Review","Provide the documented review of the most recent SOC 2 reports for all critical subservice organizations. If using the Strike Graph template, critical vendor SOC 2 review is included within the Vendor Risk Register, if you are including your review in that sheet you may deactivate this evidence item. The subservice organization's CUECs must be addressed. The review should be performed at least annually.",364,null,TRUE,"chris.wren@cirque.com","General"
"Current Data Flow Diagram","Provide the data flow diagram which shows the way information flows through the organization’s process or system. Redact all IPs. Ensure that the diagram has a 'last updated' date included within the document and the date is within the last 12 months or within the audit period. For privacy frameworks, also show the flow of PII, and for PCI show the flow of cardholder data.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","General"
"Current Network Diagram","Provide the network diagram which indicates the routes of which data travels (i.e. internal and external nodes). Redact all IPs. Ensure that the diagram has a 'last updated' date included within the document and the date is within the last 12 months or within the audit period. For PCI, the network diagram should indicate the firewall, DMZ, customer, and internal network zones.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","General"
"Customer Contract","Provide the most recent signed contract, Master Service Agreement, Statement of Work, or similar document with a new customer. Ensure that the document includes security (and, where appropriate, privacy) components.",90,null,TRUE,"bdm@cirque.com","Sample"
"Database User List","Provide a system-generated list (or series of screenshots) of users with access to the internal database. Include the account creation date as well as the date that the account was removed, disabled or modified. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"hannah.hermansen@cirque.com","General"
"Data Classification Policy","Provide the Data Classification Policy. This should include the data within your organization and how data is classified. For NIST, this should also include media marking.",364,"01/08/2027",TRUE,"chris.wren@cirque.com","Policy"
"Data Deletion","Provide evidence of the most recent data subject request for deletion (e.g. email or ticket) and evidence that the deletion script was run to delete personal information. Alternatively, provide evidence within the system that the external user information is no longer present.",30,null,TRUE,null,"Sample"
"Data Disposal Ticket","Provide an example of the most recent data disposal event.",90,null,TRUE,null,"Sample"
"Data Management Policy","Provide the policy or procedures governing information categories, usage, storage, and transmission of data. This policy should also include a discussion of record disposal practices. This policy should be reviewed, updated, and approved annually.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Policy"
"Device Disk Encryption","Provide the setting showing that disk encryption is required and pushed to all internal devices. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid. Alternatively, provide MDM tool settings and/or a current dashboard showing all devices enabled.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Emergency Change","For a sample emergency change during the audit period, provide evidence showing when the change occurred within the system and that supporting evidence that the change was reviewed and approved in line with the Change Management Policy.",30,null,TRUE,"bdm@cirque.com","Sample"
"Employee Intranet","Provide a screenshot showing that in-scope policies are made available to employees via the intranet (or similar). The screenshot should include the date/time stamp to be valid.",364,null,TRUE,"hannah.hermansen@cirque.com","General"
"Employee Job Descriptions","Provide job descriptions for all IT job roles. Each job description should describe how the role supports the control environment for information security.",364,null,TRUE,"hannah.hermansen@cirque.com","General"
"Employee Reporting","Provide evidence that employees are made aware of their responsibilities in reporting incidents or potential security breaches to the Head of IT. Examples include a screenshot from an intranet page or a slide in an all-hands security training deck or presentation. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"chris.wren@cirque.com","General"
"Employee Screening","Provide support that a background check or other screening was conducted for a recent new hire prior to employment. This can be an invoice from the background check service or the specific background check results with PII obscured.",30,null,TRUE,"hannah.hermansen@cirque.com","Sample"
"Encryption in Transit","Provide configuration evidencing encryption-in-transit for connections between services (SFTP, VPN).",364,null,TRUE,null,"Settings"
"Incident Response Plan","Provide the Security Incident Response Plan. It should outline how incidents are defined, documented, tracked, monitored, resolved, and the departments that are involved in the identification, investigation, containment, eradication, and recovery.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Policy"
"Incident Response Tabletop Test","Provide evidence that the incident response plan was tested during the audit period. This could be in the form of a memo documenting the tabletop test that includes relevant members of the incident response team. If there has been a security incident within the audit period, you may use that incident as your test.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","General"
"Information Security Policy","Provide the Information Security Policy and supporting evidence (e.g., revision history, email communications, version redline edits, the timestamp on the actual policy) to show that the Information Security Policy has been reviewed and approved by the policy owner within the audit period.",364,null,TRUE,null,"Policy"
"Infrastructure Change Testing","Provide the most recent ticket for an infrastructure change that demonstrates that the change was tested, reviewed, and approved.",90,null,TRUE,"bdm@cirque.com","Sample"
"Intrusion Detection Configuration","Provide the intrusion detection/ intrusion prevention system (IDS/IPS) configurations. This should include the alerting rules. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Logical Access Policy and Procedures","Provide the document that details the Logical Access Policy and Procedures. The document should include the concepts of role-based access and least privilege. For some organizations, this document may also include logical access procedures.",364,"01/08/2027",TRUE,"hannah.hermansen@cirque.com","Policy"
"Management Objectives Meeting Minutes","Upload meeting minutes from the most recent management meeting where organizational objectives were discussed. If organizational objectives were not discussed during the audit period, upload a statement indicating this discussion did not occur.",90,null,TRUE,null,"Sample"
"Management Review - Risk Assessment","Provide documentation demonstrating management's review of the risk assessment.",364,null,TRUE,null,"General"
"Merge Overrider List","Provide the list of individuals with the ability to change or override the merge configuration restricting developers from merging their own requests.",364,null,TRUE,"bdm@cirque.com","General"
"Merge SOD Configuration Check","Provide the configuration, if one exists, showing that developers are restricted from merging their own requests.",364,null,TRUE,"bdm@cirque.com","Settings"
"Monitoring Tools Enabled","Provide the monitoring tool configuration to alert the organization when predefined thresholds are met. Include information on what thresholds/actions trigger alerts. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Network/Cloud User List","Provide a system-generated list (or series of screenshots) of all users with access to the internal network or cloud environment. Include the account creation date as well as the date that the account was removed, disabled or modified. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"hannah.hermansen@cirque.com","General"
"New Employee Access","Provide evidence showing that access to the network and internally managed software was provisioned based on job role, approved, and implemented promptly and accurately. This can shown by a recent ticket, a checklist or other means.",30,null,TRUE,null,"General"
"New Hire Training","Provide evidence of the completed IT security training for the most recent new hire. This can be a certificate, sign-off, or a report from the system showing that required new hire training has been completed in a timely manner.",90,null,TRUE,null,"Sample"
"Operating System User List","Provide a system-generated list (or series of screenshots) of all internal operating systems users. Include the account creation date as well as the date that the account was removed, disabled or modified. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"hannah.hermansen@cirque.com","General"
"Organizational Chart","Provide the most recent organizational chart. Ensure that it includes the date it was last updated.",364,null,TRUE,"hannah.hermansen@cirque.com","General"
"Password Policy","Provide the document that includes the minimum required password configuration rules for all in-scope systems. This may be included in the Logical Access Policy. Ensure that the password configurations for all systems adhere to this policy.
 For ISO, ensure that the Password Policy requires:
 -restricting sharing of passwords
 -compromised passwords process
 -use of strong passwords
 -the use of individual user IDs and passwords to maintain accountability;
 -allow users to select and change their own passwords and include a confirmation procedure to allow for input errors;
 -users to change their passwords at the first log-on;
 -regular password changes and as needed;
 -maintain a record of previously used passwords and prevent re-use;
 -not display passwords on the screen when being entered;
 -store and transmit passwords in a protected form.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Policy"
"Password Settings - Application","Provide the application layer password settings. Ensure that the settings match your password policy. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid. The configurations should mirror the password policies within relevant security policies.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Password Settings - Database","Provide the database layer password settings. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid. The configurations should mirror the password policies within relevant security policies.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Password Settings - Network/Cloud","Provide the network or cloud layer password settings. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid. The configurations should mirror the requirements found in the Password Policy or relevant security policies.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Password Settings - Operating System","Provide the operating system layer password settings. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid. The configurations should mirror the password policies within relevant security policies.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Patch Management Policy","Provide the Patch Management Policy or procedures that include the automatic and manual procedures for patch updates. The policy should also include a process on verifying the source of a patch to ensure authenticity.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Policy"
"Patch Scan","Provide the tool configuration to scan the network for unpatched network devices and machines. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Performance Monitoring Alert","Provide an example performance monitoring alert.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","General"
"Performance Monitoring Alert Configuration","Provide the system performance monitoring alerting configuration. The configuration should show which individuals, teams, or services receive the alerts, as well as what actions or activities trigger alerts. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Performance Review or Template","Provide a recently completed performance review from within the audit period. If a performance review has not been completed, provide the template.",90,null,TRUE,"hannah.hermansen@cirque.com","Sample"
"Periodic Logical Access Review","Provide all completed internal user access reviews for the audit period. The reviews should include a system-generated list of users to all in-scope systems, the level of access they have, evidence that access was reviewed, and proof that any requests for removal were carried out. This is commonly tracked using tickets or a spreadsheet with tabs outlining access for each in-scope service.",90,null,TRUE,null,"General"
"Record Retention Schedule","Provide the record or document retention schedule. This may be included within the Data Retention Policy or may be a separate document.",364,null,TRUE,"bdm@cirque.com","Policy"
"Restoration Test","Provide the documented backup restoration test. This could be part of your disaster recovery test results.",364,"03/01/2027",TRUE,"bdm@cirque.com","General"
"Risk Assessment","Provide evidence of a completed risk assessment being performed during the audit period that includes assessment of fraud, vendor, IT, environmental and physical (only if your company manages its own physical data center and servers), and business operational risks. The assessment should also include risk score, risk owner, and mitigation plans. The Strike Graph Risk Assessment results can be downloaded and attached.",364,null,TRUE,null,"General"
"Risk Management Policy and Procedures","The Risk Management policy and procedures are in place and include how to identify risks, to evaluate risks, and how to address and mitigate those risks. The policy is reviewed at least annually and re-distributed to staff, as needed.
",364,"01/08/2027",TRUE,"chris.wren@cirque.com","Policy"
"Security Configuration Standards","Provide the baseline security configuration maintained by the IT Operations team (or appropriate IT department). If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Security Incident Resolution","Provide a completed security incident response ticket or report. It must include the following: analysis of the impact of a security event, incident containment, incident resolution, classification of the severity of the incident, and root cause analysis of the incident. Any technical analysis or log review should also be included. 
 
 This process is typically documented in a memo, ticket, or incident template form.",90,null,TRUE,null,"Sample"
"Separation of Environments","Provide (a) screenshot(s) showing the production, development and testing environments are logically separated from one another. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,null,"Settings"
"Server Encryption","Provide the operating system/server or virtual machine (VM) encryption configuration for a sample server in scope. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Server Scan and Patch","Provide evidence of the most recent patch update following industry standards/updated patch available from vendors. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",30,"04/01/2026",TRUE,"chris.wren@cirque.com","General"
"Signed Acceptable Use Policy","Provide the signed acceptable use policy for the most recently onboarded new hire. If the acknowledgement is separate from the policy content, also provide the full Acceptable Use Policy document.",30,null,TRUE,"hannah.hermansen@cirque.com","Sample"
"Signed Code of Conduct","Provide a signed code of conduct for the most recently onboarded new hire. If the Code of Conduct is within the Employee Handbook, show that the Employee Handbook has been signed/acknowledged. If the acknowledgement is separate from the policy content, also provide the Code of Conduct template.",30,null,TRUE,"hannah.hermansen@cirque.com","Sample"
"Signed Non Disclosure Agreement - Employee","Provide the signed non-disclosure agreement for the most recent new hire. If one has not been signed recently, provide the template.",30,null,TRUE,"hannah.hermansen@cirque.com","Sample"
"Signed Non Disclosure - Third Party","Provide a signed non-disclosure agreement (NDA) for any third party with access to personal information. The NDA should be from within the audit period.",30,null,TRUE,"hannah.hermansen@cirque.com","Sample"
"System Description Document","Provide the completed System Description document. Please upload in .docx format either by saving from Word or exporting from Google Drive or other software.",364,null,TRUE,null,"Policy"
"Training Materials","Provide the security (and privacy, if in scope) awareness training materials used for annual all-hands training. This could be from an educational system or from a presentation.",364,null,TRUE,null,"General"
"Vendor Contract","Provide a contract signed with a new vendor or service provider from within the audit period.",30,null,TRUE,"bdm@cirque.com","Sample"
"Vendor Due Diligence","Provide a recently completed due diligence review or report for a new vendor or critical service provider. Due diligence activities are those that occur before a new vendor is onboarded. NOTE: This new vendor review is included within the Strike Graph Vendor Risk Register template. If you are using the Strike Graph Vendor Risk Register sheet, you can log your new vendor due diligence activities using the tab on the sheet and deactivate this evidence item.",90,null,TRUE,"bdm@cirque.com","Sample"
"Vendor Management Policy and Procedures","Provide the Vendor Management Policy and the steps or processes that is undertaken to review the vendor's security practices.",364,null,TRUE,"bdm@cirque.com","Policy"
"Vendor Risk Register","Provide the register showing relevant IT vendors and any critical non-IT vendors along with their associated risk level (and date of the last review).",364,null,TRUE,"chris.wren@cirque.com","General"
"Vulnerability Management Policy","Provide the documented process that addresses roles and responsibilities associated with vulnerability management, vulnerability risk rating system and SLAs, and vulnerability remediation steps. Include information on how vulnerabilities can be reported by third parties, suppliers, or vendors.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Policy"
"Vulnerability Remediation","Provide evidence of remediation activity for critical or high vulnerability scan findings.",90,"05/31/2026",TRUE,"chris.wren@cirque.com","General"
"Vulnerability Scan Results","Provide the results of all quarterly vulnerability scans over the service IP domains and endpoints. If vulnerability scanning takes place on a more frequent basis, update the control frequency. If scans take place monthly, provide every monthly scan during the audit period.",90,"05/31/2026",TRUE,"chris.wren@cirque.com","General"
